registration_date,first_name,last_name,dob,age,citizenship_status,commonwealth_country,voting_status,voter_status,place_of_residence,district,city_town_village,country_if_abroad,constituency,registered_ctv_area,sex,education,ethnicity,political_interests,market_interests,civic_interests,email,phone_whatsapp,facebook,instagram,tiktok,other_contact,other_contact_platform,street_address,photo_id_type,photo_id_last4,username,password_salt,password_hash,verification_status,consent_research,consent_contact,consent_privacy,status,notes
17/01/2026 20:32,Derrick,Williams,1956-01-20,70,Other resident of Belize,,No,Not applicable,Toledo District,Toledo District,San Antonio,,,,Male,Associate Degree,Garifuna,National elections,Food and beverages,Governance; Youth,derrick.williams018@example.test,501-618-1400,derrick.williams,,,,,,Belize Voter ID,,derrick.williams018,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
17/12/2025 20:32,Carlos,Garcia,1973-01-12,53,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Belize District,Belize District,Ladyville,,,,Female,University,Other,,Food and beverages,Crime; Economy,carlos.garcia019@example.test,501-685-9702,carlos.garcia,carlos_garcia,,carlostelegram,,,Social Security Card,,carlos.garcia019,synthetic_salt,synthetic_hash,Possible Duplicate,True,True,True,Active,
10/04/2026 20:32,Tanya,Martinez,1980-04-10,46,Citizen of Belize,,Yes,Registered voter,Toledo District,Toledo District,San Antonio,,Toledo West,San Antonio,Female,Secondary,Other,National elections,Consumer goods; Banking,Governance; Youth,tanya.martinez020@example.test,501-640-9849,tanya.martinez,tanya_martinez,tanya70,tanyasignal,,,Belize Voter ID,,tanya.martinez020,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
31/01/2026 20:32,Brian,Cayetano,1970-05-28,55,Other resident of Belize,,Yes,Registered voter,Belize District,Belize District,Caye Caulker,,Belize Rural Central,Caye Caulker,Male,Associate Degree,Mestizo,Governance; Public policy,Food and beverages,Governance; Youth,brian.cayetano021@example.test,501-645-5892,,brian_cayetano,brian44,briantelegram,,,Passport,,brian.cayetano021,synthetic_salt,synthetic_hash,Pending,True,True,True,Suspended,
13/03/2026 20:32,Ana,Chan,1970-08-04,55,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Toledo District,Toledo District,Punta Gorda,,Toledo East,Punta Gorda,Female,Secondary,Garifuna,Governance; Public policy,Telecommunications,Governance; Youth,ana.chan022@example.test,501-617-8564,ana.chan,ana_chan,,anasignal,,,Social Security Card,,ana.chan022,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
18/03/2026 20:32,Alicia,Young,1967-04-14,59,Citizen of Belize,,No,Not applicable,Toledo District,Toledo District,Punta Gorda,,,,Female,Primary,East Indian,National elections,Food and beverages,Climate; Infrastructure,alicia.young023@example.test,501-625-1333,alicia.young,,,,,,Belize Voter ID,,alicia.young023,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
02/03/2026 20:32,Ruth,Musa,1964-11-08,61,Other resident of Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,Trial Farm,,Orange Walk South,Trial Farm,Male,University,Creole,Governance; Public policy,Food and beverages,Climate; Infrastructure,ruth.musa024@example.test,501-688-4978,,ruth_musa,ruth2,ruthsignal,,,Passport,,ruth.musa024,synthetic_salt,synthetic_hash,Verified,True,True,True,Inactive,
18/12/2025 20:32,Carlos,Bradley,1998-10-09,27,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Cayo District,Cayo District,Benque Viejo,,,,Female,Secondary,Creole,Governance; Public policy,Food and beverages,Crime; Economy,carlos.bradley025@example.test,501-668-8921,carlos.bradley,carlos_bradley,,carlossignal,,,Belize Voter ID,,carlos.bradley025,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
03/02/2026 20:32,Alicia,Cayetano,1991-11-27,34,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Corozal District,Corozal District,Libertad,,Corozal South West,Libertad,Male,Associate Degree,Other,,Food and beverages,Health; Education,alicia.cayetano026@example.test,501-666-4130,,alicia_cayetano,alicia29,aliciatelegram,,,Passport,,alicia.cayetano026,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
20/03/2026 20:32,Alicia,Tzul,1972-08-21,53,Citizen of Belize,,Yes,Registered voter,Corozal District,Corozal District,Libertad,,Corozal Bay,Libertad,Male,Technical / Vocational,Creole,National elections,Tourism; Retail,Crime; Economy,alicia.tzul027@example.test,501-658-5438,alicia.tzul,alicia_tzul,alicia93,,,,Passport,,alicia.tzul027,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
16/04/2026 20:32,Shawn,Martinez,2007-05-23,18,Other resident of Belize,,Yes,Registered voter,Stann Creek District,Stann Creek District,Independence,,Dangriga,Independence,Female,Primary,Creole,Governance; Public policy,Food and beverages,Governance; Youth,shawn.martinez028@example.test,501-606-5786,shawn.martinez,shawn_martinez,,shawnsignal,,,Belize Voter ID,,shawn.martinez028,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
16/03/2026 20:32,Brian,Tzul,2003-07-29,22,Citizen of Belize,,Yes,Registered voter,Toledo District,Toledo District,San Antonio,,Toledo East,San Antonio,Female,University,East Indian,National elections,Food and beverages,Governance; Youth,brian.tzul029@example.test,501-672-5978,brian.tzul,brian_tzul,brian76,briansignal,,,Social Security Card,,brian.tzul029,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
03/02/2026 20:32,Jose,Cayetano,1994-07-03,31,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Cayo District,Cayo District,San Ignacio,,Belmopan,San Ignacio,Female,Technical / Vocational,Creole,National elections,Telecommunications,Climate; Infrastructure,jose.cayetano030@example.test,501-622-2229,jose.cayetano,,,josesignal,,,Social Security Card,,jose.cayetano030,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
01/03/2026 20:32,Marlon,Chan,2000-08-14,25,Other resident of Belize,,No,Not applicable,Cayo District,Cayo District,Belmopan,,,,Female,Associate Degree,Creole,,Telecommunications,Governance; Youth,marlon.chan031@example.test,501-609-1977,marlon.chan,marlon_chan,,marlontelegram,,,Passport,,marlon.chan031,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
03/12/2025 20:32,Kevin,Garcia,2003-01-22,23,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Toledo District,Toledo District,Big Falls,,Toledo East,Big Falls,Female,Secondary,East Indian,,Food and beverages,Health; Education,kevin.garcia032@example.test,501-697-3870,kevin.garcia,kevin_garcia,kevin53,kevinsignal,,,Belize Voter ID,,kevin.garcia032,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
27/02/2026 20:32,Derrick,Chan,1963-09-09,62,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Corozal District,Corozal District,Sarteneja,,,,Female,Primary,Garifuna,National elections; Municipal elections,Food and beverages,Governance; Youth,derrick.chan033@example.test,501-670-1601,,,derrick67,derricktelegram,,,Social Security Card,,derrick.chan033,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
08/12/2025 20:32,Luis,Young,1990-08-11,35,Other resident of Belize,,No,Not applicable,Cayo District,Cayo District,Roaring Creek,,,,Male,Secondary,Maya,National elections; Municipal elections,Food and beverages,Health; Education,luis.young034@example.test,501-662-2989,,,,luistelegram,,,Passport,,luis.young034,synthetic_salt,synthetic_hash,Verified,True,True,True,Inactive,
16/12/2025 20:32,Ruth,Hyde,1962-12-31,63,Other resident of Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,San Estevan,,Orange Walk Central,San Estevan,Male,Primary,Maya,,Telecommunications,Climate; Infrastructure,ruth.hyde035@example.test,501-670-3369,,ruth_hyde,ruth93,ruthtelegram,,,Social Security Card,,ruth.hyde035,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
18/03/2026 20:32,Kendra,Tzul,1973-09-14,52,Other resident of Belize,,Yes,Registered voter,Corozal District,Corozal District,Sarteneja,,Corozal Bay,Sarteneja,Female,Secondary,Garifuna,National elections; Municipal elections,Telecommunications,Governance; Youth,kendra.tzul036@example.test,501-641-4090,kendra.tzul,kendra_tzul,,kendrasignal,,,Belize Voter ID,,kendra.tzul036,synthetic_salt,synthetic_hash,Possible Duplicate,True,True,True,Active,
12/03/2026 20:32,Derrick,Requena,2001-10-06,24,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Belize District,Belize District,Belize City,,Belize Rural Central,Belize City,Female,Primary,Maya,,Telecommunications,Governance; Youth,derrick.requena037@example.test,501-652-3529,,,derrick31,,,,Belize Voter ID,,derrick.requena037,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
04/05/2026 20:32,Jose,Cayetano,1967-05-25,58,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Belize District,Belize District,Ladyville,,Belize Rural Central,Ladyville,Female,Technical / Vocational,Garifuna,National elections,Tourism; Retail,Governance; Youth,jose.cayetano038@example.test,501-603-1753,,,,josetelegram,,,Social Security Card,,jose.cayetano038,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
19/01/2026 20:32,Melissa,Musa,1999-01-21,27,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,Guinea Grass,,Orange Walk South,Guinea Grass,Male,Primary,Garifuna,Governance; Public policy,Telecommunications,Governance; Youth,melissa.musa039@example.test,501-685-1153,melissa.musa,melissa_musa,,melissasignal,,,Belize Voter ID,,melissa.musa039,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
11/01/2026 20:32,Alicia,Musa,1989-05-26,36,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Corozal District,Corozal District,Sarteneja,,Corozal North,Sarteneja,Male,University,Maya,National elections,Tourism; Retail,Climate; Infrastructure,alicia.musa040@example.test,501-672-1803,,,,aliciasignal,,,Belize Voter ID,,alicia.musa040,synthetic_salt,synthetic_hash,Possible Duplicate,True,True,True,Active,
10/03/2026 20:32,Kendra,Williams,1989-12-03,36,Citizen of Belize,,Yes,Registered voter,Toledo District,Toledo District,San Antonio,,Toledo West,San Antonio,Female,Associate Degree,Maya,Governance; Public policy,Consumer goods; Banking,Governance; Youth,kendra.williams041@example.test,501-669-6994,,,,kendratelegram,,,Social Security Card,,kendra.williams041,synthetic_salt,synthetic_hash,Verified,True,True,True,Inactive,
06/12/2025 20:32,Alicia,Williams,1957-10-29,68,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Belize District,Belize District,Hattieville,,Belize Rural South,Hattieville,Male,Secondary,Garifuna,National elections; Municipal elections,Telecommunications,Crime; Economy,alicia.williams042@example.test,501-647-5295,,alicia_williams,alicia90,aliciatelegram,,,Belize Voter ID,,alicia.williams042,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
21/11/2025 20:32,Luis,Martinez,1977-03-21,49,Other resident of Belize,,Yes,Registered voter,Belize District,Belize District,Hattieville,,Caribbean Shores,Hattieville,Female,University,Other,National elections,Food and beverages,Health; Education,luis.martinez043@example.test,501-658-7078,luis.martinez,luis_martinez,,luistelegram,,,Belize Voter ID,,luis.martinez043,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
22/01/2026 20:32,Tanya,Requena,1985-03-30,41,Citizen of Belize,,Yes,Registered voter,Toledo District,Toledo District,Big Falls,,Toledo West,Big Falls,Male,University,Creole,National elections; Municipal elections,Telecommunications,Crime; Economy,tanya.requena044@example.test,501-635-4109,,,,tanyatelegram,,,Belize Voter ID,,tanya.requena044,synthetic_salt,synthetic_hash,Possible Duplicate,True,True,True,Active,
20/04/2026 20:32,Kendra,Cayetano,1950-07-18,75,Other resident of Belize,,No,Not applicable,Belize District,Belize District,Ladyville,,,,Male,Secondary,Creole,Governance; Public policy,Tourism; Retail,Climate; Infrastructure,kendra.cayetano045@example.test,501-669-5106,,,,,,,Passport,,kendra.cayetano045,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
01/12/2025 20:32,Maria,Tzul,1979-11-16,46,Other resident of Belize,,Yes,Registered voter,Stann Creek District,Stann Creek District,Placencia,,Dangriga,Placencia,Female,Associate Degree,Other,National elections; Municipal elections,Consumer goods; Banking,Governance; Youth,maria.tzul046@example.test,501-678-1710,maria.tzul,maria_tzul,,mariasignal,,,Passport,,maria.tzul046,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
10/02/2026 20:32,Maria,Ramirez,1970-03-05,56,Other resident of Belize,,Yes,Registered voter,Belize District,Belize District,San Pedro,,Caribbean Shores,San Pedro,Female,Associate Degree,East Indian,,Consumer goods; Banking,Health; Education,maria.ramirez047@example.test,501-674-9984,,maria_ramirez,,mariasignal,,,Passport,,maria.ramirez047,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
27/04/2026 20:32,Jose,Ramirez,1980-12-10,45,Citizen of Belize,,No,Not applicable,Toledo District,Toledo District,Big Falls,,,,Female,Primary,Other,Governance; Public policy,Tourism; Retail,Health; Education,jose.ramirez048@example.test,501-687-8770,jose.ramirez,,jose53,josetelegram,,,Social Security Card,,jose.ramirez048,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
27/12/2025 20:32,Ruth,Musa,1988-11-20,37,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Belize District,Belize District,Ladyville,,Caribbean Shores,Ladyville,Male,Technical / Vocational,East Indian,National elections,Food and beverages,Health; Education,ruth.musa049@example.test,501-628-2773,ruth.musa,,ruth24,ruthtelegram,,,Passport,,ruth.musa049,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
03/01/2026 20:32,Shawn,Requena,1998-08-03,27,Citizen of Belize,,Yes,Registered voter,Toledo District,Toledo District,Punta Gorda,,Toledo West,Punta Gorda,Female,Associate Degree,Garifuna,Governance; Public policy,Tourism; Retail,Climate; Infrastructure,shawn.requena050@example.test,501-681-1502,shawn.requena,shawn_requena,,,,,Belize Voter ID,,shawn.requena050,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
07/01/2026 20:32,Luis,Castillo,2002-12-31,23,Citizen of Belize,,Yes,Registered voter,Orange Walk District,Orange Walk District,San Estevan,,Orange Walk South,San Estevan,Female,Associate Degree,Creole,Governance; Public policy,Food and beverages,Climate; Infrastructure,luis.castillo051@example.test,501-656-7785,,,,,,,Passport,,luis.castillo051,synthetic_salt,synthetic_hash,Verified,True,True,True,Inactive,
02/01/2026 20:32,Kendra,Cayetano,1991-12-23,34,Other resident of Belize,,Yes,Registered voter,Corozal District,Corozal District,Corozal Town,,Corozal North,Corozal Town,Male,University,East Indian,Governance; Public policy,Consumer goods; Banking,Governance; Youth,kendra.cayetano052@example.test,501-655-3878,,kendra_cayetano,kendra3,,,,Social Security Card,,kendra.cayetano052,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
11/12/2025 20:32,Brian,Bradley,1967-10-19,58,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Corozal District,Corozal District,Sarteneja,,Corozal North,Sarteneja,Female,Primary,Garifuna,National elections; Municipal elections,Tourism; Retail,Governance; Youth,brian.bradley053@example.test,501-641-3815,brian.bradley,,brian51,briantelegram,,,Belize Voter ID,,brian.bradley053,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
11/04/2026 20:32,Shawn,Williams,1975-06-30,50,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Belize District,Belize District,San Pedro,,Caribbean Shores,San Pedro,Male,Secondary,East Indian,National elections,Consumer goods; Banking,Crime; Economy,shawn.williams054@example.test,501-682-3419,shawn.williams,shawn_williams,shawn97,shawntelegram,,,Social Security Card,,shawn.williams054,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
18/12/2025 20:32,Derrick,Requena,1967-12-10,58,Citizen of Belize,,Yes,Registered voter,Cayo District,Cayo District,San Ignacio,,Cayo West,San Ignacio,Female,University,Creole,Governance; Public policy,Food and beverages,Governance; Youth,derrick.requena055@example.test,501-680-5961,,,derrick48,,,,Belize Voter ID,,derrick.requena055,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
17/01/2026 20:32,Brian,Tzul,1970-08-09,55,Other resident of Belize,,No,Not applicable,Toledo District,Toledo District,Santa Elena,,,,Male,Primary,Garifuna,National elections; Municipal elections,Telecommunications,Health; Education,brian.tzul056@example.test,501-673-4084,,,brian32,briansignal,,,Social Security Card,,brian.tzul056,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
24/04/2026 20:32,Alicia,Ramirez,1989-11-02,36,Other resident of Belize,,No,Not applicable,Orange Walk District,Orange Walk District,Orange Walk Town,,,,Female,Technical / Vocational,Maya,National elections,Telecommunications,Health; Education,alicia.ramirez057@example.test,501-682-6482,,alicia_ramirez,alicia40,,,,Social Security Card,,alicia.ramirez057,synthetic_salt,synthetic_hash,Verified,True,True,True,Inactive,
15/02/2026 20:32,Ruth,Hyde,1983-06-25,42,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Corozal District,Corozal District,Corozal Town,,Corozal North,Corozal Town,Male,Secondary,Maya,,Tourism; Retail,Crime; Economy,ruth.hyde058@example.test,501-654-9331,,,ruth10,,,,Social Security Card,,ruth.hyde058,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
07/05/2026 20:32,Luis,Castillo,1986-07-07,39,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Cayo District,Cayo District,Santa Elena,,Cayo West,Santa Elena,Female,Secondary,Garifuna,Governance; Public policy,Food and beverages,Crime; Economy,luis.castillo059@example.test,501-688-3712,,luis_castillo,,luissignal,,,Social Security Card,,luis.castillo059,synthetic_salt,synthetic_hash,Pending,True,True,True,Inactive,
05/05/2026 20:32,Carlos,Cayetano,1989-11-05,36,Other resident of Belize,,No,Not applicable,Stann Creek District,Stann Creek District,Hopkins,,,,Female,Technical / Vocational,East Indian,National elections; Municipal elections,Consumer goods; Banking,Climate; Infrastructure,carlos.cayetano060@example.test,501-677-3267,,,carlos35,carlostelegram,,,Passport,,carlos.cayetano060,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
28/04/2026 20:32,Tanya,Requena,1979-11-23,46,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Belize District,Belize District,Belize City,,Belize Rural Central,Belize City,Male,Primary,Maya,National elections; Municipal elections,Telecommunications,Crime; Economy,tanya.requena061@example.test,501-647-4862,,,tanya37,tanyatelegram,,,Social Security Card,,tanya.requena061,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
06/03/2026 20:32,Ana,Williams,2007-01-08,19,Citizen of Belize,,No,Not applicable,Cayo District,Cayo District,Benque Viejo,,,,Female,Primary,Creole,National elections,Food and beverages,Governance; Youth,ana.williams062@example.test,501-677-9647,,,,anatelegram,,,Social Security Card,,ana.williams062,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
15/02/2026 20:32,Kendra,Martinez,1981-05-19,45,Citizen of Belize,,Yes,Registered voter,Stann Creek District,Stann Creek District,Hopkins,,Stann Creek West,Hopkins,Male,Associate Degree,Garifuna,National elections; Municipal elections,Food and beverages,Climate; Infrastructure,kendra.martinez063@example.test,501-623-2402,kendra.martinez,,,kendrasignal,,,Social Security Card,,kendra.martinez063,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
24/11/2025 20:32,Jose,Cayetano,1970-11-30,55,Citizen of a Commonwealth country living in Belize,,Yes,Registered voter,Cayo District,Cayo District,Belmopan,,Cayo Central,Belmopan,Female,Secondary,Mestizo,National elections; Municipal elections,Food and beverages,Health; Education,jose.cayetano064@example.test,501-682-3868,jose.cayetano,,,,,,Passport,,jose.cayetano064,synthetic_salt,synthetic_hash,Pending,True,True,True,Active,
13/02/2026 20:32,Melissa,Martinez,2005-06-22,20,Citizen of a Commonwealth country living in Belize,,No,Not applicable,Cayo District,Cayo District,Belmopan,,,,Female,Associate Degree,Garifuna,Governance; Public policy,Tourism; Retail,Governance; Youth,melissa.martinez065@example.test,501-606-6438,melissa.martinez,melissa_martinez,melissa67,,,,Passport,,melissa.martinez065,synthetic_salt,synthetic_hash,Verified,True,True,True,Active,
